word or phrase,translation
脂身,"fat (of meat), fatty meat"
あべこべ,"contrary, opposite, inverse, reverse, back-to-front"
阿呆,"fool, idiot, simpleton"
海女,"ama, female diver who collects shells, seaweed, etc."
尼,"Buddhist nun, Catholic nun, sister, bitch, Amagasaki (city in Hyogo Prefecture), Amazon (online retailer)"
雨脚,"passing shower, streaks of pouring rain"
甘い,"sweet-tasting, sweet, sugary, sugared, fragrant (smelling), sweet (music), lightly salted, light in salt, not spicy, naive, overly optimistic, soft on, generous, indulgent, easy-going, lenient, half-hearted, not finished properly, insufficient, not satisfactory, inadequate, loose, mild, tempting, enticing, luring"
甘え,"lack of self-reliance, depending on others"
甘える,"to behave like a spoiled child, to fawn on, to take advantage of, to presume upon (e.g. anothers benevolence), to depend on"
甘えん坊,"wheedling child, spoiled child (spoilt), pampered child, child who always demands attention"
甘辛,"sweetness and saltiness, salted and sweetened taste"
天下り,"retiring high-ranking government officials taking a lucrative job in a private or semi-private corporation, command (from superior to inferior, government to private sector, etc.), order, imposition, descent from heaven"
甘口,"sweet flavour, sweet flavor, mildness, flattery, stupidity"
雨具,rain gear
雨雲,rain cloud
余す,"to save, to leave over, to spare"
甘酢,sweet vinegar
雨垂れ,"raindrops (dripping from eaves, branches, etc.), exclamation point, exclamation mark"
雨戸,sliding storm shutter
天の川,"Milky Way, luminous band corresponding to the plane of the galaxy"
甘味,"sweetness, sugary taste, sweets, dessert, cake"
雨水,"rain water, rain water solar term (approx. February 19)"
雨模様,"signs of rain, threat of rain"
雨漏り,roof leak
甘やかす,"to pamper, to spoil"
雨宿り,taking shelter from rain
余り,"remainder, remnant, rest, balance, surplus, remains (of a meal), leftovers, (not) very, (not) much, too much, excessively, overly, extreme, great, severe, tremendous, terrible, more than, over"
余りに,"too (much), overly, excessively"
余る,"to remain, to be left over, to be in excess, to be too many"
甘んじる,"to content oneself with, to be resigned to (ones fate), to be contented (satisfied) with (ones lot)"
網,"net, netting, web"
阿弥陀,"Amitabha (Buddha), Amida, ghostleg lottery, ladder lottery, lottery in which participants trace a line across a lattice pattern to determine the winner, wearing a hat pushed back on ones head"
編み出す,"to work out, to think out, to devise, to invent"
網棚,"(overhead) luggage rack (on a train, bus, etc.)"
網戸,"window screen, insect screen, mosquito screen, screen, screen door"
網目,"mesh (of a net), half-tone (printing)"
編み物,"knitting, knitted material, crochet"
編む,"to knit, to plait, to braid, to compile (anthology, dictionary, etc.), to edit"
雨,"rain, rainy day, rainy weather, the November suit (in hanafuda)"
飴,"(hard) candy, toffee, rice-sugar, sugar made from the starch of rice, potatoes, etc., amber, yellowish-brown"
雨上がり,after the rain
雨が降る,to rain
雨降り,"rainfall, rainy weather, rainy, wet"
危うい,"dangerous, in danger, facing imminent danger, precarious (situation), perilous (state, balance, etc.), in doubt, in jeopardy, uncertain, insecure, concerning, worrying"
危うく,"barely, narrowly, almost, nearly"
怪しい,"suspicious, dubious, questionable, dodgy, shady, fishy, doubtful, unsure, uncertain, unlikely, implausible, untrustworthy, unreliable, clumsy, awkward, shaky, poor, strange, weird, eerie, spooky, uncanny, ominous (e.g. weather), threatening, dangerous (e.g. financial situation), uncertain, suspicious (of a potential amorous relation), mysterious, bewitching, alluring, enticing, enchanting"
怪しげ,"questionable, doubtful, suspicious"
怪しむ,to suspect
操り,"manipulation, puppet"
操り人形,"puppet, marionette"
操る,"to operate (e.g. a machine), to handle, to manage, to control, to maneuver, to steer, to have a good command of (a language), to play proficiently (of a musical instrument), to work (a puppet), to pull the strings of a puppet, to manipulate (a person, public opinion, etc.), to pull the strings, to control from the shadows, to mastermind"
あやふや,"uncertain, vague, ambiguous"
危ぶむ,"to fear, to doubt, to have misgivings about, to worry about, to be anxious about, to be apprehensive about"
過ち,"fault, error, indiscretion, faux pas"
誤って,"in error, by mistake, by accident, accidentally"
誤り,"error, mistake, slip, bug"
謝り,"excuse, apology"
謝る,"to apologize, to apologise"
誤る,"to make a mistake (in), to commit an error, to do incorrectly, to err, to be wrong, to be incorrect, to be false, to be mistaken, to mislead, to misguide, to lead astray"
鮎,"sweetfish (Plecoglossus altivelis altivelis), ayu, salmon"
歩み,"walking, pace, step, course (of history, ones life, etc.), history, progress, advance, development, pitch (of a screw, etc.)"
歩み寄り,"compromise, concession"
歩み寄る,"to compromise, to meet halfway, to step up to, to walk up to, to approach"
歩む,"to walk, to go on foot, to tread (a figurative path), to follow, to lead (a life), to experience, to advance towards (e.g. a solution), to set out (e.g. on the path to destruction, ruin, etc.), to embark (on the road to ...)"
あら,"oh, ah"
荒々しい,"rough, wild, rude, harsh, gruff, violent"
荒い,"rough, wild, violent, rude, coarse, harsh, fierce, heavy (e.g. breathing), immoderate, extravagant, reckless"
粗い,"coarse, rough"
洗い上げる,"to finish washing, to wash well, to investigate thoroughly"
洗い直す,"to wash again, to reconsider"
洗い場,"washing place (e.g. for laundry or tableware), place for washing oneself in a bathroom"
洗い物,washing (esp. dishes and laundry)
洗う,"to wash, to cleanse, to rinse, to inquire into, to investigate, to purify (ones heart), to lave (e.g. shore), to wash over (e.g. deck), to sweep"
荒海,"rough sea, stormy sea"
予め,"beforehand, in advance, previously"
荒稼ぎ,"making a killing, making easy money, robbery, robber"
荒木,"logs in bark, rough wood, unseasoned timber, new lumber"
荒削り,"rough-hewn, incomplete, unrefined, still in the process of being formed"
荒事,(theatrical) fighting scene
嵐,"storm, tempest, uproar, hullabaloo, storm (e.g. of protest), winds (e.g. of change)"
荒らし回る,"to break into (houses here and there), to rampage"
荒らす,"to lay waste, to devastate, to damage, to invade, to break into, to troll (e.g. web forums), to spam"
粗筋,"outline, summary, argument"
争い,"fight, dispute, feud, conflict, struggle, strife, discord, argument, quarrel, controversy, competition, contest, rivalry"
争う,"to compete, to contest, to contend, to quarrel, to argue, to dispute, to be at variance, to oppose, to deny (e.g. evidence)"
新た,"new, fresh, novel"
改まった,"ceremonious, formal"
改まる,"to be renewed, to change, to be improved, to be reformed, to be revised, to be corrected, to stand on ceremony, to be formal, to take a turn for the worse (of an illness), to take a serious turn"
改めて,"another time, again, over again, once again, anew, formally, especially, intentionally, deliberately"
改める,"to change, to alter, to revise, to replace, to reform, to correct, to mend, to improve, to examine, to check, to inspect, to do properly, to do formally"
荒っぽい,"wild, violent, rough-mannered, rude, rough (e.g. work), crude, coarse, careless"
新手,"fresh troops, fresh players, newcomer, new employee, new worker, new method, new way, new type"
荒波,"raging waves, stormy seas, hardships, troubles, adversities"
荒巻,"salted salmon, fish wrapped in (bamboo) leaves"
凡ゆる,"all, every"
荒らげる,"to roughen (e.g. ones attitude), to raise (ones voice)"
荒療治,"rough-and-ready (medical) treatment, drastic remedy, drastic treatment, drastic measures, drastic steps"
表す,"to represent, to signify, to stand for, to reveal, to show, to display, to express, to make widely known"
著す,"to write, to publish"
現れ,"embodiment, manifestation, materialization, materialisation, expression, indication"
現れる,"to appear, to come in sight, to become visible, to come out, to embody, to materialize, to materialise, to be expressed (e.g. emotions), to become apparent (e.g. trends, effects)"
蟻,ant
あり得ない,"impossible, unthinkable, ridiculous, absurd"
有難い,"grateful, thankful, welcome, appreciated, evoking gratitude"
有りがち,"common, frequent"
有り難う,"thank you, thanks"
有難うございました,thank you
有難うございます,thank you
有様,"state, condition, circumstances, sight, spectacle, the way things should be, ideal state, truth"
在りし日,"past days, bygone days, days of yore, the olden days, while still alive, during ones lifetime"
有りそう,"probable, likely"
有りとあらゆる,"every conceivable, every single, every possible, all kinds of"
有りのまま,"as it is, plain (truth), bare, undisguised, unvarnished, unexaggerated, honest, true, frank, candid"
有り触れた,"common, commonplace, ordinary, familiar, everyday, garden-variety, trite, stale, hackneyed, stereotyped"
亜流,"(inferior) imitator, epigone, poor imitation, copycat, follower, adherent, person belonging to the same school (e.g. of thought)"
亜硫酸ガス,"sulphurous acid gas, sulfurous acid gas, sulphur dioxide gas, sulfur dioxide gas"
或る,"a certain ..., some ..."
有る,"to be, to exist, to live, to have, to be located, to be equipped with, to happen, to come about"
或いは,"or, either ... or, maybe, perhaps, possibly, some ... and others ..., sometimes ... and at other times ..."
ある意味で,"in a sense, in some way, to an extent"
ある意味では,"in a sense, in some way, to an extent"
歩き回る,"to walk about, to walk around, to walk to and fro, to pace around, to wander"
歩く,to walk
主,"head (of a household), proprietor (of a store), proprietress, landlord, landlady, master (of a servant), entertaining someone as ones guest"
彼,"that, that thing, that person, then, that time, that place (over there), down there (i.e. ones genitals), period, menses"
荒れ,"stormy weather, tempest, chaps (of skin)"
彼是,"this and that, this or that, one thing or another, this way and that, around, about, round about, roughly, nearly, almost"
