charcter,definition,pinyin
初,"beginning, initial, primary",chū
喜,"like, love, enjoy; joyful thing",xǐ
卫,"guard, protect, defend",wèi
源,"spring; source, head; surname",yuán
食,eat; meal; food; KangXi radical number 184,shí
险,"narrow pass, strategic point",xiǎn
待,"treat, entertain, receive; wait",dài
述,"narrate, state, express",shù
陆,"land, continental; army",lù
习,practice; flapping wings,xí
置,"place, lay out; set aside",zhì
居,"live, dwell, reside, sit",jū
劳,"labor, toil, do manual work",láo
财,"wealth, valuables, riches",cái
环,jade ring or bracelet; ring,huán
排,"row, rank, line",pái
福,"happiness, good fortune, blessing",fú
纳,"admit, take, receive, accept",nà
欢,"happy, pleased, glad; joy; enjoy",huān
雷,thunder,léi
警,"guard, watch; alert, alarm",jǐng
获,"obtain, get, receive; seize",huò
模,"model, standard, pattern; copy",mó
充,"fill, be full, supply",chōng
负,"load, burden; carry, bear",fù
云,"say, speak; clouds",yún
停,"stop, suspend, delay; suitable",tíng
木,"tree; wood, lumber; wooden",mù
游,"to swim; float, drift; wander, roam",yóu
龙,dragon; symbolic of emperor,lóng
树,"tree; plant; set up, establish",shù
疑,"doubt, question, suspect",yí
层,"storey, layer, floor, stratum",céng
冷,"cold, cool; lonely",lěng
洲,continent; island; islet,zhōu
冲,soar; pour boiling water over,chōng
射,"shoot, eject, issue forth, emit",shè
略,"approximately, roughly; outline",lüè
范,surname; bee-like insect,fàn
竟,"finally, after all, at last",jìng
句,sentence,jù
室,"room, home, house, chamber",shì
异,"different, unusual, strange",yì
激,"arouse, excite, incite; quickly",jī
汉,Chinese people; Chinese language,hàn
村,"village, hamlet; uncouth, vulgar",cūn
哈,sound of laughter,hā
策,"scheme, plan; to whip; urge",cè
演,"perform, put on; exercise",yǎn
简,"simple, terse, succinct, a letter",jiǎn
卡,"card, punch card; calorie",kǎ
罪,"crime, sin, vice; evil; hardship",zuì
判,judge; discriminate; conclude,pàn
担,"carry, bear, undertake",dān
州,"administrative division, state",zhōu
静,"quiet, still, motionless; gentle",jìng
退,"step back, retreat, withdraw",tuì
既,already; de facto; since; then,jì
衣,"clothes, clothing; cover, skin",yī
您,,nín
宗,"lineage, ancestry; ancestor, clan",zōng
积,"accumulate, store up, amass",jī
余,"I, my, me; surname; surplus",yú
痛,"pain, ache; sorry, sad; bitter",tòng
检,check; examine,jiǎn
差,"to differ; different, wrong; nearly, almost; an officer",chà
富,"abundant, ample; rich, wealthy",fù
灵,"spirit, soul; spiritual world",líng
协,be united; cooperate,xié
角,"horn; angle, corner; point",jiǎo
占,divine; observe; versify,zhàn
配,"match, pair; equal; blend",pèi
征,"invade, attack, conquer",zhēng
修,study; repair; cultivate,xiū
皮,"skin, hide, fur, feather; outer",pí
挥,direct; wipe away; squander,huī
胜,"victory; excel, be better than",shèng
降,"descend, fall, drop; lower, down",jiàng
阶,"stairs, steps; rank, degree",jiē
审,"examine, investigate; judge",shěn
沉,"sink, submerge; addicted to",chén
坚,"hard, strong, firm; resolute",jiān
善,"good, virtuous, charitable, kind",shàn
妈,"mother, mama",mā
刘,"surname; kill, destroy",liú
读,"read, study; pronounce",dú
啊,exclamatory particle,a
超,"jump over, leap over; surpass",chāo
免,spare; excuse from; evade,miǎn
压,press; oppress; crush; pressure,yā
银,"silver; cash, money, wealth",yín
买,"buy, purchase; bribe, persuade",mǎi
皇,"royal, imperial; ruler, superior",huáng
养,"raise, rear, bring up; support",yǎng
伊,"third person pronoun; he, she, this, that",yī
怀,"bosom, breast; carry in bosom",huái
执,hold in hand; keep; carry out,zhí
副,assist; supplement; assistant,fù
乱,"confusion, state of chaos, revolt",luàn
抗,"resist, oppose, defy, reject",kàng
犯,"commit crime, violate; criminal",fàn
追,"pursue, chase after; expel",zhuī
帮,"help, assist; defend; shoe upper",bāng
宣,"declare, announce, proclaim",xuān
佛,Buddha; of Buddhism; merciful person; Buddhist image; the dead (Jap.),fú
岁,year; age; harvest,suì
航,"sail; navigate; ship, boat",háng
优,"superior, excellent; actor",yōu
怪,"strange, unusual, peculiar",guài
香,"fragrant, sweet smelling, incense",xiāng
著,manifest; (Cant.) to wear,zhe
田,"field, arable land, cultivated",tián
铁,"iron; strong, solid, firm",tiě
控,"accuse, charge; control",kòng
税,taxes,shuì
左,"left; east; unorthodox, improper",zuǒ
右,right; west; right-wing,yòu
份,"portion, part; duty",fèn
穿,"penetrate, pierce, drill; wear",chuān
艺,"art; talent, ability; craft",yì
背,back; back side; behind; betray,bèi
阵,"column, row or file of troops",zhèn
草,"grass, straw, thatch, herbs",cǎo
脚,"leg, foot; base, leg, foundation",jiǎo
概,"generally, approximately",gài
恶,"evil, wicked, bad, foul",è
块,"piece, lump; dollar",kuài
顿,"pause, stop; bow, kowtow; arrange",dùn
敢,"to dare, venture; bold, brave",gǎn
守,"defend, protect, guard, conserve",shǒu
酒,"wine, spirits, liquor, alcoholic beverage",jiǔ
岛,island,dǎo
托,"to hold up with palm; to support, rely on",tuō
央,"center, conclude, run out; beg",yāng
户,door; family,hù
烈,"fiery, violent, vehement, ardent",liè
洋,"ocean, sea; foreign; western",yáng
哥,elder brother,gē
索,"large rope, cable; rules, laws; to demand, to exact; to search, inquire; isolated",suǒ
胡,"recklessly, foolishly; wildly",hú
款,"item, article; clause; fund",kuǎn
靠,"lean on, trust, depend on; near",kào
评,"appraise, criticize, evaluate",píng
版,printing blocks; edition,bǎn
宝,"treasure, jewel; precious, rare",bǎo
座,"seat; stand, base",zuò
释,"interprete, elucidate; release",shì
景,"scenery, view; conditions",jǐng
顾,look back; look at; look after,gù
弟,"young brother; junior; i, me",dì
登,"rise, mount, board, climb",dēng
货,"goods, commodities, products",huò
互,"mutually, reciprocally",hù
付,"give, deliver, pay, hand over; entrust",fù
伯,,bó
慢,"slow(ly), leisurely, sluggish",màn
欧,translit.: Europe; ohm; surname,ōu
换,change,huàn
闻,hear; smell; make known; news,wén
危,"dangerous, precarious; high",wēi
忙,"busy, pressed for time; hustling",máng
核,"seed, kernel, core, nut; atom",hé
暗,"dark; obscure; in secret, covert",àn
姐,"elder sister, young lady",jiě
介,"forerunner, herald, harbinger; to lie between; sea shell; to wear armor",jiè
坏,"rotten, spoilt, bad, broken down",huài
讨,"to discuss; ask for, beg; demand; dun; marry",tǎo
丽,"beautiful, magnificent, elegant",lì
良,"good, virtuous, respectable",liáng
序,"series, serial order, sequence",xù
升,"arise, go up; hoist; advance",shēng
监,"supervise, control, direct",jiān
临,"draw near, approach; descend",lín
亮,"bright, brilliant, radiant, light",liàng
露,"dew; bare, open, exposed",lù
永,"long, perpetual, eternal, forever",yǒng
呼,"breathe sigh, exhale; call, shout",hū
味,"taste, smell, odor; delicacy",wèi
野,"open country, field; wilderness",yě
架,"rack, stand, prop; prop up",jià
域,"district, region, boundary; land",yù
沙,"sand, gravel, pebbles; granulated",shā
掉,"turn, move; shake, wag; drop down",diào
括,"include, embrace, enclose",kuò
舰,warship,jiàn
鱼,fish; surname; KangXi radical 195,yú
杂,"mixed, blended; mix, mingle",zá
误,"err, make mistake; interfere",wù
湾,"bay, cove, inlet, bend of stream",wān
吉,"lucky, propitious, good",jí
减,"decrease, subtract, diminish",jiǎn
编,"knit, weave; arrange; compile",biān
楚,name of feudal state; clear,chǔ
肯,"willing; consent to, permit",kěn
测,"measure, estimate, conjecture",cè
败,"be defeated, decline, fail",bài
屋,"house; room; building, shelter",wū
跑,"run, flee, leave in hurry",pǎo
梦,dream; visionary; wishful,mèng
散,"scatter, disperse, break up",sàn
温,lukewarm,wēn
困,"to surround, beseige; to be surrounded; difficult",kùn
剑,"sword, dagger, saber",jiàn
渐,gradually,jiàn
封,"letter, envelope; feudal",fēng
救,"save, rescue, relieve; help, aid",jiù
贵,"expensive, costly, valuable",guì
枪,"spear, lance; gun, rifle",qiāng
缺,"be short of, lack; gap, deficit",quē
楼,building of two or more stories,lóu
县,"county, district, subdivision",xiàn
尚,"still, yet; even; fairly, rather",shàng
毫,fine hair; measure of length,háo
移,"change place, shift; move about",yí
娘,mother; young girl; woman; wife,niáng
朋,"friend, pal, acquaintance",péng
画,"a painting, picture, drawing; to draw",huà
班,"class, group, grade; squad; job",bān
智,"wisdom, knowledge, intelligence",zhì
亦,"also, too; likewise",yì
耳,"ear; merely, only; handle",ěr
恩,"kindness, mercy, charity",ēn
短,"short; brief; deficient, lacking",duǎn
掌,"palm of hand, sole of foot, paw",zhǎng
恐,"fear; fearful, apprehensive",kǒng
遗,lose; articles lost; omit,yí
固,"to become solid, solidify; strength",gù
席,seat; mat; take seat; banquet,xí
松,pine tree; fir tree,sōng
秘,"secret, mysterious, abstruse",mì
谢,thank; decline,xiè
鲁,"foolish, stupid, rash; vulgar",lǔ
遇,"meet, come across, encounter",yù
康,"peaceful, quiet; happy, healthy",kāng
虑,"be concerned, worry about",lǜ
幸,"luck(ily), favor, fortunately",xìng
均,"equal, even, fair; all, also",jūn
销,"melt, fuse; market, sell",xiāo
钟,clock; bell,zhōng
诗,"poetry; poem, verse, ode",shī
藏,"hide, conceal; hoard, store up",cáng
赶,"pursue, follow; expel, drive away",gǎn
剧,"theatrical plays, opera, drama",jù
票,slip of paper or bamboo; ticket,piào
损,diminish; impair; injure,sǔn
忽,"suddenly, abruptly; neglect",hū
巨,"large, great, enormous; chief",jù
炮,"large gun, cannon; artillery",pào
旧,"old, ancient; former, past",jiù
端,"end, extreme; head; beginning",duān
探,"find, locate; search, grope for",tàn
湖,"a lake; Hubei, Hunan; bluish-green",hú
录,"copy, write down, record",lù
叶,"to harmonize, to rhyme; to unite; (borrowed for) leaf",yè
春,spring; wanton,chūn
乡,country; rural; village,xiāng
附,"adhere to, append; rely on near to",fù
吸,"inhale, suck in; absorb; attract",xī
予,"I, me; to give",yǔ
礼,social custom; manners; courtesy,lǐ
港,"port, harbor; small stream; bay",gǎng
雨,rain; rainy; KangXi radical 173,yǔ
呀,particle used to express surprise or mild emphasis; (Cant.) slurred form of the number ten,ya
板,"plank, board; iron or tin plate",bǎn
庭,courtyard; spacious hall or yard,tíng
妇,married women; woman; wife,fù
归,"return; return to, revert to",guī
睛,eyeball; pupil of eye,jīng
饭,"cooked rice; food, meal",fàn
额,"forehead; tablet, plaque; fixed",é
含,hold in mouth; cherish; contain,hán
顺,"obey, submit to, go along with",shùn
输,"transport, carry, haul",shū
摇,"wag, swing, wave; shake; scull",yáo
招,"beckon, summon; recruit, levy",zhāo
婚,"get married; marriage, wedding",hūn
脱,take off,tuō
补,"mend, patch, fix, repair, restore",bǔ
谓,"say, tell; call, name; be called",wèi
督,"supervise, oversee, direct",dū
毒,"poison, venom; poisonous",dú
油,"oil, fat, grease, lard; paints",yóu
疗,"be healed, cured, recover",liáo
旅,"trip, journey; travel; traveler",lǚ
泽,"marsh, swamp; grace, brilliance",zé
材,"material, stuff; timber; talent",cái
灭,"extinguish; wipe out, exterminate",miè
逐,"chase, expel; one by one",zhú
莫,"do not, is not, can not; negative",mò
笔,writing brush; write; stroke,bǐ
亡,"death, destroyed; lose, perish",wáng
鲜,fresh; delicious; attractive,xiān
词,"words; phrase, expression",cí
圣,"holy, sacred",shèng
择,"select, choose, pick out",zé
寻,"seek, search, look for; ancient",xún
厂,"factory, workshop; radical 27",chǎng
睡,"sleep, doze",shuì
博,"gamble, play games; wide, broad",bó
勒,"strangle, tighten",lēi
烟,"smoke, soot; opium; tobacco, cigarettes",yān
授,"give to, transmit; confer",shòu
诺,"promise; assent, approve",nuò
伦,normal human relationships,lún
岸,"bank, shore; beach, coast",àn
奥,"mysterious, obscure, profound",ào
唐,Tang dynasty; Chinese,táng
卖,sell; betray; show off,mài
俄,"sudden(ly), soon; Russian",é
炸,to fry in oil; to scald; to explode,zhà
载,"load; carry; transport, convey",zài
洛,river in Shanxi province; city,luò
健,"strong, robust, healthy; strength",jiàn
堂,hall; government office,táng
旁,"side; by side, close by, near",páng
宫,palace,gōng
喝,"drink; shout, call out",hē
借,borrow; lend; make pretext of,jiè
君,"sovereign, monarch, ruler, chief, prince",jūn
禁,"restrict, prohibit, forbid",jìn
阴,,yīn
园,"garden; park, orchard",yuán
谋,"plan, scheme; strategem",móu
宋,Song dynasty; surname,sòng
避,avoid; turn aside; escape; hide,bì
抓,"scratch; clutch, seize, grab",zhuā
荣,"glory, honor; flourish, prosper",róng
姑,,gū
孙,"grandchild, descendent; surname",sūn
逃,"escape, flee; abscond, dodge",táo
牙,"tooth, molars, teeth; serrated",yá
束,"bind, control, restrain; bale",shù
跳,"jump, leap, vault, bounce; dance",tiào
顶,"top, summit, peak; to carry on the head",dǐng
玉,"jade, precious stone, gem",yù
镇,"town, market place; suppress",zhèn
雪,"snow; wipe away shame, avenge",xuě
午,noon; 7th terrestrial branch,wǔ
练,"to practice, drill, exercise, train",liàn
迫,"coerce, force, compel; urgent",pò
爷,"father, grandfather",yé
篇,"chapter, section, essay, article",piān
肉,flesh; meat; KangXi radical 130,ròu
嘴,"mouth, lips",zuǐ
馆,public building,guǎn
遍,"everywhere, all over, throughout",biàn
凡,"all, any, every; ordinary, common",fán
础,"foundation stone, plinth",chǔ
洞,"cave, grotto; ravine; hole",dòng
卷,scroll; curl; make a comeback,juǎn
坦,"flat, smooth; self-possessed",tǎn
牛,"cow, ox, bull; KangXi radical93",niú
宁,"calm, peaceful, serene; healthy",níng
纸,paper,zhǐ
